shape_id;shape_pt_lat;shape_pt_lon;shape_pt_sequence
30027;49.097385;6.174626;90002
30027;49.097385;6.174626;100001
30027;49.099076;6.173745;100002
30027;49.099076;6.173745;110001
30027;49.100236;6.175472;110002
30027;49.100236;6.175472;120001
30027;49.103244;6.174837;120002
30027;49.103244;6.174837;130001
30027;49.105977;6.173652;130002
30027;49.105977;6.173652;140001
30027;49.107800;6.172740;140002
30027;49.107800;6.172740;150001
30027;49.110333;6.175233;150002
30027;49.110333;6.175233;160001
30027;49.110789;6.171108;160002
30027;49.110789;6.171108;170001
30027;49.115245;6.173645;170002
30027;49.115245;6.173645;180001
30027;49.119169;6.170879;180002
30027;49.119169;6.170879;190001
30027;49.121305;6.175270;190002
30027;49.121305;6.175270;200001
30027;49.122449;6.178004;200002
30027;49.122449;6.178004;210001
30027;49.124458;6.182114;210002
30027;49.124458;6.182114;220001
30027;49.127471;6.175816;220002
30027;49.127471;6.175816;230001
30027;49.129526;6.170049;230002
30027;49.129526;6.170049;240001
30027;49.132970;6.167800;240002
30027;49.132970;6.167800;250001
30027;49.133230;6.164190;250002
30027;49.133230;6.164190;260001
30027;49.134796;6.161172;260002
30027;49.134796;6.161172;270001
30027;49.135083;6.156760;270002
30027;49.135083;6.156760;280001
30027;49.136455;6.155988;280002
30027;49.136455;6.155988;290001
30027;49.139403;6.153449;290002
30027;49.139403;6.153449;300001
30027;49.141084;6.150367;300002
30027;49.141084;6.150367;310001
30027;49.141640;6.148119;310002
30027;49.141640;6.148119;320001
30027;49.145003;6.147890;320002
30027;49.145003;6.147890;330001
30027;49.147379;6.148470;330002
30027;49.147379;6.148470;340001
30027;49.147642;6.152451;340002
30027;49.147642;6.152451;350001
30027;49.151276;6.150049;350002
30027;49.151276;6.150049;360001
30027;49.152567;6.145716;360002
30027;49.152567;6.145716;370001
30027;49.153314;6.139920;370002
30027;49.153314;6.139920;380001
30027;49.156248;6.140034;380002
30028;49.084587;6.154709;10001
30028;49.086565;6.156623;10002
30028;49.086565;6.156623;20001
30028;49.088292;6.159708;20002
30028;49.088292;6.159708;30001
30028;49.087466;6.164294;30002
30028;49.087466;6.164294;40001
30028;49.090403;6.166435;40002
